iter	Passed	Remaining
0	1459	1458351
1	1461	729308
2	1463	486216
3	1465	365012
4	1467	291955
5	1467	243181
6	1469	208470
7	1471	182464
8	1472	162174
9	1474	145968
10	1475	132690
11	1477	121606
12	1478	112232
13	1479	104218
14	1481	97269
15	1483	91216
16	1484	85846
17	1486	81076
18	1487	76818
19	1490	73053
20	1492	69583
21	1494	66430
22	1495	63517
23	1500	61038
24	1503	58651
25	1505	56380
26	1506	54290
27	1508	52363
28	1511	50611
29	1514	48980
30	1516	47399
31	1518	45939
32	1519	44534
33	1520	43213
34	1522	41968
35	1524	40820
36	1527	39747
37	1528	38699
38	1530	37707
39	1531	36762
40	1532	35853
41	1533	34986
42	1535	34164
43	1536	33387
44	1539	32664
45	1542	31980
46	1544	31309
47	1545	30647
48	1546	30016
49	1549	29448
50	1552	28881
51	1553	28315
52	1554	27777
53	1555	27258
54	1558	26779
55	1559	26290
56	1560	25822
57	1562	25373
58	1565	24962
59	1567	24560
60	1569	24160
61	1571	23768
62	1573	23396
63	1574	23023
64	1575	22660
65	1577	22318
66	1579	21994
67	1582	21694
68	1584	21381
69	1587	21085
70	1588	20784
71	1589	20485
72	1590	20197
73	1592	19926
74	1596	19690
75	1599	19442
76	1600	19184
77	1603	18955
78	1606	18728
79	1608	18496
80	1609	18262
81	1611	18045
82	1613	17824
83	1614	17605
84	1617	17414
85	1620	17224
86	1621	17020
87	1623	16825
88	1625	16643
89	1628	16466
90	1630	16283
91	1631	16104
92	1632	15925
93	1634	15754
94	1636	15592
95	1639	15438
96	1640	15274
97	1642	15118
98	1644	14964
99	1645	14812
100	1646	14657
101	1647	14507
102	1649	14364
103	1652	14236
104	1654	14101
105	1655	13964
106	1657	13833
107	1659	13708
108	1660	13576
109	1661	13444
110	1662	13316
111	1663	13192
112	1667	13086
113	1669	12973
114	1670	12852
115	1671	12737
116	1672	12621
117	1673	12511
118	1675	12400
119	1676	12292
120	1678	12193
121	1681	12104
122	1683	12002
123	1684	11900
124	1685	11801
125	1687	11706
126	1688	11607
127	1689	11509
128	1690	11412
129	1691	11317
130	1692	11225
131	1693	11135
132	1695	11049
133	1696	10961
134	1697	10873
135	1697	10787
136	1698	10701
137	1700	10622
138	1702	10546
139	1704	10473
140	1706	10393
141	1706	10313
142	1708	10237
143	1712	10179
144	1717	10124
145	1718	10053
146	1721	9991
147	1723	9922
148	1724	9851
149	1727	9786
150	1729	9724
151	1730	9656
152	1734	9602
153	1736	9540
154	1738	9477
155	1741	9422
156	1744	9368
157	1746	9304
158	1748	9247
159	1750	9190
160	1751	9125
161	1752	9066
162	1753	9004
163	1754	8943
164	1755	8883
165	1756	8824
166	1757	8768
167	1759	8711
168	1760	8657
169	1761	8601
170	1762	8545
171	1763	8491
172	1764	8437
173	1766	8385
174	1769	8339
175	1772	8297
176	1774	8249
177	1781	8227
178	1785	8188
179	1786	8138
180	1787	8089
181	1789	8044
182	1791	7996
183	1792	7949
184	1793	7902
185	1794	7853
186	1795	7805
187	1796	7758
188	1797	7711
189	1797	7665
190	1798	7618
191	1799	7573
192	1801	7532
193	1802	7489
194	1804	7448
195	1805	7404
196	1805	7361
197	1806	7319
198	1807	7276
199	1809	7236
200	1810	7196
201	1812	7158
202	1812	7117
203	1813	7076
204	1814	7037
205	1816	7002
206	1818	6968
207	1820	6930
208	1821	6893
209	1822	6856
210	1823	6819
211	1825	6783
212	1826	6747
213	1826	6710
214	1827	6673
215	1828	6636
216	1829	6600
217	1829	6564
218	1831	6529
219	1832	6495
220	1832	6460
221	1833	6426
222	1834	6392
223	1835	6358
224	1836	6324
225	1836	6290
226	1837	6257
227	1838	6225
228	1839	6193
229	1840	6161
230	1841	6129
231	1841	6097
232	1842	6065
233	1843	6033
234	1843	6002
235	1844	5972
236	1846	5943
237	1846	5913
238	1847	5883
239	1848	5853
240	1849	5823
241	1849	5793
242	1850	5764
243	1851	5735
244	1851	5706
245	1852	5678
246	1853	5651
247	1854	5623
248	1855	5595
249	1856	5568
250	1856	5540
251	1857	5513
252	1858	5486
253	1859	5459
254	1859	5433
255	1860	5407
256	1861	5382
257	1862	5356
258	1863	5330
259	1863	5304
260	1864	5279
261	1865	5253
262	1865	5228
263	1866	5203
264	1867	5178
265	1868	5154
266	1869	5131
267	1869	5106
268	1870	5083
269	1871	5059
270	1871	5035
271	1872	5011
272	1873	4988
273	1873	4964
274	1874	4941
275	1875	4919
276	1876	4897
277	1877	4875
278	1878	4853
279	1878	4831
280	1879	4809
281	1880	4786
282	1880	4765
283	1881	4743
284	1882	4721
285	1882	4700
286	1883	4679
287	1884	4659
288	1885	4638
289	1886	4618
290	1886	4597
291	1887	4576
292	1888	4556
293	1889	4536
294	1889	4516
295	1890	4497
296	1891	4477
297	1892	4458
298	1893	4438
299	1894	4419
300	1895	4400
301	1895	4381
302	1896	4363
303	1897	4344
304	1899	4328
305	1901	4312
306	1902	4294
307	1903	4277
308	1904	4258
309	1905	4241
310	1906	4223
